,city,name,rooms,integration_service,seasonal,partnership_status,first_activated_at,first_year_ends,trips_first_year,revenue_first_year,revenue_per_trip_first_year
0,barcelona,Arc La Rambla,98.0,siteminder_smx,No,Active Partnership,2018-04-17,2019-04-17,165,3932.8000000000015,23.835151515151523
1,barcelona,Hotel Lleo,92.0,siteminder_smx,No,Active Partnership,2018-04-12,2019-04-12,169,4188.300000000006,24.782840236686425
2,athens,Noufara Hotel,56.0,Schedulers,No,Active Partnership,2017-05-25,2018-05-25,48,940.1000000000004,19.585416666666674
3,athens,Athens Signature Hotel,35.0,Schedulers,No,Active Partnership,2018-05-14,2019-05-14,195,6448.6,33.06974358974359
4,athens,Electra Metropolis Athens,216.0,light,No,Revisit Lead,2017-01-13,2018-01-13,345,43703.800000000025,126.67768115942036
5,porto,Legendary Porto Hotel,113.0,availpro,No,Active Partnership,2019-05-15,2020-05-14,82,1751.5999999999992,21.36097560975609
6,athens,Arethusa Hotel,87.0,webhotelier,No,Active Partnership,2017-03-03,2018-03-03,198,5013.099999999998,25.318686868686857
7,budapest,Exe Budapest Center,175.0,Schedulers,No,Active Partnership,2022-02-04,2023-02-04,148,2928.5999999999967,19.787837837837817
8,athens,Hera Hotel,38.0,webhotelier,No,Active Partnership,2017-07-25,2018-07-25,156,4260.499999999999,27.31089743589743
9,budapest,Stories Boutique Hotel,38.0,Schedulers,No,Active Partnership,2021-10-19,2022-10-19,208,4584.499999999996,22.040865384615365
10,istanbul,Radisson Hotel President Old Town Istanbul,201.0,Schedulers,No,Active Partnership,2023-09-14,2024-09-13,239,24207.599999999977,101.28702928870283
11,porto,Moov Hotel Porto Centro,125.0,availpro,No,Active Partnership,2019-05-20,2020-05-19,58,1013.9999999999995,17.482758620689648
12,malta,Alexandra Hotel ,240.0,Schedulers,No,Active Partnership,2019-08-22,2020-08-21,187,5048.800000000002,26.998930481283434
13,paris,Hôtel Le Belleval,51.0,mews,No,Active Partnership,2018-09-18,2019-09-18,182,3335.7000000000016,18.328021978021987
14,paris,Drawing Hotel ,48.0,availpro,No,Active Partnership,2019-02-22,2020-02-22,174,5021.800000000002,28.860919540229897
15,barcelona,Sercotel Rosellón,105.0,opera_cloud,No,Active Partnership,2023-02-06,2024-02-06,207,8136.4,39.30628019323672
16,athens,Athens Cypria Hotel,115.0,webhotelier,No,Active Partnership,2017-05-24,2018-05-24,154,3788.100000000001,24.598051948051953
17,paris,Lyric Hotel Paris,47.0,availpro,No,Active Partnership,2022-10-13,2023-10-13,162,5184.8,32.00493827160494
18,paris,Novotel Paris Centre Bercy,150.0,Schedulers,No,Active Partnership,2019-05-08,2020-05-07,125,3506.900000000001,28.055200000000006
19,paris,Les Jardins Du Marais,263.0,availpro,No,Active Partnership,2019-07-31,2020-07-30,150,4793.200000000001,31.95466666666667
20,athens,Athens Downtown Apartments,5.0,webhotelier,No,Active Partnership,2021-09-23,2022-09-23,98,2316.3,23.635714285714286
21,valencia,Hotel Miramar Valencia,22.0,siteminder_smx,No,Active Partnership,2018-09-17,2019-09-17,78,1117.799999999999,14.330769230769219
22,corfu,La Grotta Verde,353.0,webhotelier,Yes,Active Partnership,2023-03-14,2024-03-13,163,8944.800000000003,54.87607361963192
23,barcelona,Hotel Condes de Barcelona,126.0,siteminder_smx,No,Active Partnership,2018-05-23,2019-05-23,211,5140.300000000012,24.36161137440764
24,athens,Electra Hotel,109.0,light,No,Stopped Partnership,2016-08-31,2017-08-31,140,5405.799999999996,38.61285714285711
25,madrid,ITC Infantas by Soho Hoteles,40.0,room_cloud,No,Active Partnership,2018-12-03,2019-12-03,105,1944.3999999999976,18.518095238095214
26,athens,NJV Athens Plaza,180.0,webhotelier,No,Active Partnership,2018-06-29,2019-06-29,163,6981.6,42.8319018404908
27,athens,The Zillers Boutique Hotel,14.0,light,No,Stopped Partnership,2017-04-21,2018-04-21,231,6280.500000000001,27.188311688311693
28,madrid,Vincci The Mint,88.0,light,No,Active Partnership,2018-01-29,2019-01-29,78,1656.5999999999976,21.238461538461507
29,thessaloniki,The Modernist Thessaloniki,40.0,Schedulers,No,Active Partnership,2018-06-02,2019-06-02,142,1736.9999999999975,12.232394366197166
30,barcelona,Duquesa de Cardona,59.0,siteminder_smx,No,Active Partnership,2018-11-14,2019-11-14,299,13346.29999999998,44.63645484949826
31,barcelona,Oriente Atiram Hotel,147.0,siteminder_smx,No,Active Partnership,2019-06-11,2020-06-10,203,5864.599999999999,28.88965517241379
32,rome,MZ Hotel ,15.0,Schedulers,No,Active Partnership,2023-04-09,2024-04-08,109,3458.2000000000025,31.72660550458718
33,paris,Hotel Design Sorbonne,38.0,availpro,No,Active Partnership,2019-01-16,2020-01-16,59,1281.6,21.72203389830508
34,athens,Herodion Hotel,90.0,webhotelier,No,Active Partnership,2016-12-16,2017-12-16,288,14917.300000000008,51.79618055555559
35,lisbon,Lisboa Carmo Hotel,45.0,light,No,Active Lead,2019-06-19,2020-06-18,72,3522.5999999999976,48.92499999999997
36,athens,Amazon Hotel,42.0,webhotelier,No,Active Partnership,2019-07-31,2020-07-30,106,2735.999999999998,25.811320754716963
37,paris,Hôtel Panache,40.0,availpro,No,Active Partnership,2018-11-07,2019-11-07,107,2471.6,23.09906542056075
38,lisbon,Palacio Estoril Golf & Spa Hotel,161.0,availpro,Yes,Active Partnership,2019-04-30,2020-04-29,65,1438.4,22.12923076923077
39,barcelona,Gaudi Hotel,73.0,siteminder_smx,No,Active Partnership,2017-05-30,2018-05-30,258,7745.800000000021,30.02248062015512
40,paris,Hôtel Bienvenue ,38.0,light,No,Active Partnership,2018-10-11,2019-10-11,118,2843.7000000000003,24.099152542372885
41,athens,The Athens Gate Hotel,99.0,webhotelier,No,Active Partnership,2017-05-18,2018-05-18,338,19220.6,56.86568047337278
42,athens,Piraeus Theoxenia Hotel,76.0,webhotelier,No,Active Partnership,2017-07-26,2018-07-26,92,2915.999999999999,31.695652173913032
43,paris,Hotel Nuage ,27.0,light,No,Active Partnership,2022-08-15,2023-08-15,68,2168.2000000000003,31.885294117647064
44,barcelona,Hotel Flor Parks Archived,26.0,light,No,Stopped Partnership,2017-11-15,2018-11-15,52,887.5999999999997,17.069230769230764
45,madrid,Aspasios - Calle Mayor Apartments,10.0,light,No,Active Partnership,2018-05-29,2019-05-29,70,1535.3999999999985,21.934285714285693
46,paris,Hotel Mathis Paris,25.0,availpro,No,Active Partnership,2018-12-03,2019-12-03,99,2257.0,22.7979797979798
47,seville,Las Casas de La Judería ,178.0,siteminder_smx,No,Active Partnership,2019-03-12,2020-03-11,253,9890.0,39.09090909090909
48,thessaloniki,Electra Palace Hotel Thessaloniki,138.0,light,No,Stopped Partnership,2016-08-06,2017-08-06,110,2626.5000000000014,23.87727272727274
49,barcelona,Chic & Basic Lemon,20.0,siteminder_smx,No,Active Partnership,2018-04-16,2019-04-16,92,1563.8999999999978,16.998913043478236
50,paris,Hôtel du Ministère,42.0,availpro,No,Active Partnership,2019-01-23,2020-01-23,93,2048.9999999999995,22.032258064516125
51,athens,Novotel Athens,196.0,Schedulers,No,Active Partnership,2017-05-24,2018-05-24,217,7295.899999999993,33.621658986175085
52,budapest,Noble Boutique Hotel ,17.0,light,No,Active Partnership,2021-10-19,2022-10-19,65,1057.5000000000002,16.269230769230774
