property_id,city,name,rooms,integration_service,seasonal,partnership_status,activated_method,first_activated_at,first_year_ends,trips,revenue,revenue_per_trip,tc,dc,trips_first_year,revenue_first_year,tc_first_year,dc_first_year
44,athens,The Athens Gate Hotel,99,webhotelier,FALSE,Active Partnership,import,5/18/2017,5/18/2018,7511,139985.09999999998,18.64,573192,433206.90000000055,338,19142.900000000012,73403,54260.10000000002
52,athens,Herodion Hotel,90,webhotelier,FALSE,Active Partnership,import,12/16/2016,12/16/2017,5209,106287.30000000006,20.4,392501,286213.70000000013,288,14921.100000000015,52029,37107.900000000009
66,athens,Attalos Hotel,78,webhotelier,FALSE,Active Partnership,import,2/23/2018,2/23/2019,3884,56853.60000000002,14.64,265318,208464.40000000017,294,11308.899999999996,43636,32327.100000000002
43,athens,Electra Palace Hotel,155,,FALSE,Stopped Partnership,import,7/8/2016,7/8/2017,3748,81267.799999999974,21.68,250773,169505.20000000019,158,19549.000000000004,61073,41523.999999999993
866,athens,Electra Metropolis Athens,216,,FALSE,Revisit Lead,import,1/13/2017,1/13/2018,3667,84946.799999999945,23.17,261592,176645.20000000016,345,43840.10000000002,136362,92521.900000000038
1094,barcelona,Gaudi Hotel,73,siteminder_smx,FALSE,Active Partnership,import,5/30/2017,5/30/2018,3302,54826.700000000194,16.6,237836,183009.3000000006,258,7601.3000000000138,31963,24361.700000000044
1331,barcelona,Duquesa de Cardona,59,siteminder_smx,FALSE,Active Partnership,import,11/14/2018,11/14/2019,3054,69655,22.81,245565,175910.00000000047,299,13311.59999999998,50683,37371.399999999972
20,athens,Hera Hotel,38,webhotelier,FALSE,Active Partnership,import,7/25/2017,7/25/2018,3037,62199,20.48,222187,159987.99999999997,156,4320.4999999999991,15877,11556.499999999998
2477,seville,Las Casas de La Judería ,178,siteminder_smx,FALSE,Active Partnership,import,3/12/2019,3/11/2020,2949,45939.5,15.58,158462,112522.5,253,9952,34471,24519.000000000015
1178,barcelona,Yurbban Passage,60,siteminder_smx,FALSE,Active Partnership,import,9/6/2017,9/6/2018,2798,45517.100000000122,16.27,193549,148031.89999999997,199,4530.5000000000064,18978,14447.500000000005
2385,athens,Ergon House,38,webhotelier,FALSE,Active Partnership,import,3/1/2019,2/29/2020,2723,55065.999999999935,20.22,225283,170216.99999999968,220,7124.2000000000062,28538,21413.8
1293,barcelona,El Avenida Palace,153,siteminder_smx,FALSE,Active Partnership,import,12/15/2017,12/15/2018,2577,43468.000000000109,16.87,189697,146229.00000000038,283,8847.7,36662,27814.300000000036
495,athens,Dorian Inn Hotel,146,webhotelier,FALSE,Active Partnership,import,5/24/2016,5/24/2017,2548,39107.69999999999,15.35,161480,122372.30000000018,73,2390.7000000000003,10134,7743.300000000002
110,athens,Novotel Athens,196,Expedia,FALSE,Active Partnership,import,5/24/2017,5/24/2018,2511,42538.600000000006,16.94,179646,137107.39999999997,217,7421.0999999999958,29492,22070.899999999987
3995,malta,Alexandra Hotel ,240,Expedia,FALSE,Active Partnership,import,8/22/2019,8/21/2020,2328,31524.600000000046,13.54,92160,60635.400000000067,188,5080.0000000000018,14545,9465.0000000000018
1411,madrid,7 Islas Hotel,79,siteminder_smx,FALSE,Active Partnership,import,12/5/2018,12/5/2019,2324,34532.299999999865,14.86,139480,104947.69999999915,248,6633.7000000000144,26364,19730.300000000036
1585,barcelona,Hotel Condes de Barcelona,126,siteminder_smx,FALSE,Active Partnership,import,5/23/2018,5/23/2019,2286,38457.500000000109,16.82,168655,130197.49999999991,211,5001.1000000000076,20863,15861.900000000012
1147,barcelona,Hotel Pulitzer Barcelona,91,siteminder_smx,FALSE,Active Partnership,import,2/5/2019,2/5/2020,2286,36483.700000000179,15.96,156248,119764.30000000015,240,6011.0000000000055,25950,19939.000000000029
797,barcelona,Arc La Rambla,98,siteminder_smx,FALSE,Active Partnership,import,4/17/2018,4/17/2019,2259,37347.100000000064,16.53,164079,126731.89999999989,165,3874.6000000000022,16032,12157.400000000001
3153,barcelona,Oriente Atiram Hotel,147,siteminder_smx,FALSE,Active Partnership,import,6/11/2019,6/10/2020,2167,36987.200000000121,17.07,164044,127056.80000000024,204,5935.699999999998,27817,21881.299999999992
1505,barcelona,Hotel España Ramblas,82,siteminder_smx,FALSE,Active Partnership,import,5/28/2018,5/28/2019,2118,36035.700000000026,17.01,155343,119307.29999999986,241,6514.7000000000116,26859,20344.300000000047
1597,barcelona,Sensation Sagrada Familia,26,siteminder_smx,FALSE,Active Partnership,import,7/10/2018,7/10/2019,1965,38427.300000000134,19.56,178780,140352.7000000001,235,6627.2000000000153,29236,22608.800000000047
752,thessaloniki,Electra Palace Hotel Thessaloniki,138,,FALSE,Stopped Partnership,import,8/6/2016,8/6/2017,1959,22921.699999999877,11.7,78291.8,55370.09999999994,110,2634.8,9025,6390.1999999999907
1180,barcelona,Hotel Praktik Bakery,74,BookingCom,FALSE,Active Partnership,import,7/31/2017,7/31/2018,1948,29592.699999999928,15.19,123978,94385.299999999726,204,5279.8,21531,16251.200000000019
1592,athens,Athens Signature Hotel,35,Expedia,FALSE,Active Partnership,import,5/14/2018,5/14/2019,1827,39437.699999999917,21.59,141328,101890.30000000012,196,6499.2,21949,15449.800000000001
36,athens,New Hotel,79,impala,FALSE,Active Partnership,import,2/26/2020,2/25/2021,1782,39155.799999999974,21.97,148696,109540.19999999975,73,2049.3999999999992,7509,5459.5999999999976
2248,paris,"Hotel National Des Arts et Métiers	",70,availpro,FALSE,Active Partnership,import,1/21/2019,1/21/2020,1728,33035.399999999951,19.12,165073,132037.5999999998,204,6063.0000000000018,31184,25121.000000000011
2794,paris,Les Jardins d'Eiffel,51,mews,FALSE,Active Partnership,import,5/7/2019,5/6/2020,1671,35482.099999999984,21.23,183885,148402.90000000002,141,2732.8999999999996,17638,14905.100000000009
97,athens,Airotel Parthenon,79,webhotelier,FALSE,Active Partnership,import,6/29/2016,6/29/2017,1656,30297.000000000022,18.3,121857,91560.000000000029,82,2348.0000000000005,9689,7341.0000000000073
469,athens,Amazon Hotel,42,webhotelier,FALSE,Active Partnership,import,7/31/2019,7/30/2020,1649,25111.599999999933,15.23,108541,83429.4,107,2664.8999999999983,11157,8492.0999999999967
126,athens,Athens Cypria Hotel,115,webhotelier,FALSE,Active Partnership,import,5/24/2017,5/24/2018,1635,27832.199999999997,17.02,116490,88657.799999999959,154,3713.7000000000016,14834,11120.300000000003
1401,barcelona,Hotel Brummell,22,,FALSE,Active Partnership,import,2/23/2018,2/23/2019,1601,24556.799999999934,15.34,103448,78891.199999999721,140,2770.0000000000027,11273,8502.9999999999891
209,athens,Arethusa Hotel,87,webhotelier,FALSE,Active Partnership,import,3/3/2017,3/3/2018,1580,27292.699999999964,17.27,111148,83855.299999999945,198,5017.6,20110,15092.400000000001
1310,barcelona,Casa Bonay,67,siteminder_smx,,Active Partnership,import,12/22/2017,12/22/2018,1526,25315.399999999925,16.59,107199,81883.599999999729,169,3494.5000000000023,14805,11310.500000000002
108,athens,NJV Athens Plaza,180,webhotelier,FALSE,Active Partnership,import,6/29/2018,6/29/2019,1517,44950.899999999929,29.63,133229,88278.099999999875,164,7129.8000000000011,21912,14782.2
1177,barcelona,Yurbban Trafalgar,56,siteminder_smx,FALSE,Active Partnership,import,9/6/2017,9/6/2018,1513,23952.799999999908,15.83,102327,78374.199999999735,93,1779.099999999997,7715,5935.8999999999905
2325,paris,The Hoxton Paris,172,,FALSE,Active Partnership,transfer,3/11/2022,3/11/2023,1500,20190.499999999964,13.46,134867,114676.4999999998,206,5445.9000000000015,39895,34449.099999999977
2077,valencia,Caro Hotel,26,siteminder_smx,FALSE,Active Partnership,import,10/22/2018,10/22/2019,1463,19790.299999999919,13.53,70145,50354.699999999983,227,5088.8000000000084,17219,12130.200000000012
68,athens,Philippos Hotel,50,webhotelier,,Active Partnership,import,12/16/2016,12/16/2017,1456,28438.900000000041,19.53,106628,78189.100000000137,193,5802.6999999999925,21067,15264.299999999987
1486,barcelona,Hotel Lleo,92,siteminder_smx,FALSE,Active Partnership,import,4/12/2018,4/12/2019,1378,22734.49999999996,16.5,98382,75647.499999999724,169,4031.6000000000031,17210,13178.400000000005
87,athens,Electra Hotel,109,,FALSE,Stopped Partnership,import,8/31/2016,8/31/2017,1372,32761.900000000009,23.88,101228,68466.10000000002,140,5421.4999999999955,17127,11705.499999999996
1148,barcelona,Hotel Regina Barcelona,99,siteminder_smx,FALSE,Active Partnership,import,2/6/2019,2/6/2020,1354,24161.299999999959,17.84,107242,83080.699999999866,188,4486.600000000004,20062,15575.400000000009
3139,paris,Les Jardins Du Marais,263,availpro,FALSE,Active Partnership,import,7/31/2019,7/30/2020,1346,27046.499999999956,20.09,139334,112287.49999999983,150,4506.9000000000024,26412,21905.100000000006
2073,athens,Perianth Hotel,38,webhotelier,FALSE,Active Partnership,import,10/9/2018,10/9/2019,1343,26748.099999999955,19.92,108835,82086.899999999878,164,3757.400000000001,16306,12548.6
62,athens,Piraeus Theoxenia Hotel,76,webhotelier,FALSE,Active Partnership,import,7/26/2017,7/26/2018,1340,35684.000000000073,26.63,117258,81574.000000000407,92,2880.9999999999995,9588,6707
116,athens,Evripides Hotel,62,,FALSE,Active Partnership,import,9/13/2016,9/13/2017,1298,20465.899999999994,15.77,84193,63727.100000000013,49,905.80000000000018,3667,2761.2
1259,barcelona,Hotel Sant Agustí,77,siteminder_smx,FALSE,Active Partnership,import,11/14/2017,11/14/2018,1290,21745.799999999981,16.86,91481,69735.199999999866,120,2238.6999999999975,9186,6947.2999999999874
